Vteam,Hteam
Toronto Raptors,Milwaukee Bucks
Brooklyn Nets,Los Angeles Lakers
Miami Heat,Sacramento Kings
Denver Nuggets,Cleveland Cavaliers
Golden State Warriors,Orlando Magic
Atlanta Hawks,Boston Celtics
Chicago Bulls,Philadelphia 76ers
Detroit Pistons,Memphis Grizzlies
Oklahoma City Thunder,Milwaukee Bucks
Phoenix Suns,New Orleans Pelicans
Toronto Raptors,Minnesota Timberwolves
Utah Jazz,Los Angeles Clippers
Golden State Warriors,Charlotte Hornets
Indiana Pacers,Houston Rockets
Miami Heat,Los Angeles Lakers
Sacramento Kings,Chicago Bulls
Phoenix Suns,Memphis Grizzlies
Washington Wizards,Portland Trail Blazers
Boston Celtics,New Orleans Pelicans
Oklahoma City Thunder,Cleveland Cavaliers
Minnesota Timberwolves,New York Knicks
Detroit Pistons,Orlando Magic
Philadelphia 76ers,Toronto Raptors
Denver Nuggets,Atlanta Hawks
Brooklyn Nets,Los Angeles Clippers
Sacramento Kings,Milwaukee Bucks
Chicago Bulls,Houston Rockets
Memphis Grizzlies,Dallas Mavericks
Miami Heat,Oklahoma City Thunder
Portland Trail Blazers,Phoenix Suns
Charlotte Hornets,Utah Jazz
Washington Wizards,Los Angeles Lakers
Atlanta Hawks,Cleveland Cavaliers
Detroit Pistons,Orlando Magic
Sacramento Kings,Brooklyn Nets
Boston Celtics,Dallas Mavericks
Golden State Warriors,New York Knicks
Philadelphia 76ers,Toronto Raptors
Minnesota Timberwolves,Milwaukee Bucks
Portland Trail Blazers,Denver Nuggets
Washington Wizards,Los Angeles Clippers
Boston Celtics,Atlanta Hawks
Houston Rockets,Cleveland Cavaliers
Golden State Warriors,Indiana Pacers
Minnesota Timberwolves,Chicago Bulls
Toronto Raptors,Miami Heat
Detroit Pistons,New Orleans Pelicans
San Antonio Spurs,Oklahoma City Thunder
Charlotte Hornets,Phoenix Suns
Los Angeles Lakers,Utah Jazz
Dallas Mavericks,Philadelphia 76ers
Orlando Magic,Brooklyn Nets
Sacramento Kings,New York Knicks
Los Angeles Clippers,Memphis Grizzlies
Washington Wizards,Denver Nuggets
New Orleans Pelicans,Milwaukee Bucks
Indiana Pacers,Boston Celtics
Houston Rockets,Toronto Raptors
Phoenix Suns,Chicago Bulls
Sacramento Kings,Detroit Pistons
Los Angeles Clippers,Memphis Grizzlies
Utah Jazz,Miami Heat
Atlanta Hawks,Oklahoma City Thunder
Charlotte Hornets,Golden State Warriors
Portland Trail Blazers,Los Angeles Lakers
Cleveland Cavaliers,Philadelphia 76ers
Minnesota Timberwolves,Washington Wizards
Indiana Pacers,New York Knicks
Denver Nuggets,Oklahoma City Thunder
Utah Jazz,Orlando Magic
New Orleans Pelicans,San Antonio Spurs
Dallas Mavericks,Brooklyn Nets
Los Angeles Clippers,Milwaukee Bucks
Washington Wizards,Boston Celtics
Chicago Bulls,Toronto Raptors
New York Knicks,Detroit Pistons
Memphis Grizzlies,Houston Rockets
Golden State Warriors,Los Angeles Lakers
Atlanta Hawks,Miami Heat
Phoenix Suns,Minnesota Timberwolves
Charlotte Hornets,Sacramento Kings
Dallas Mavericks,Orlando Magic
Indiana Pacers,Philadelphia 76ers
Utah Jazz,New Orleans Pelicans
Brooklyn Nets,San Antonio Spurs
Cleveland Cavaliers,Houston Rockets
Denver Nuggets,Chicago Bulls
Charlotte Hornets,Portland Trail Blazers
Memphis Grizzlies,Washington Wizards
Los Angeles Clippers,Boston Celtics
Atlanta Hawks,Miami Heat
Detroit Pistons,Toronto Raptors
New York Knicks,San Antonio Spurs
Denver Nuggets,Milwaukee Bucks
Phoenix Suns,Los Angeles Lakers
Indiana Pacers,Cleveland Cavaliers
Utah Jazz,Philadelphia 76ers
Brooklyn Nets,Houston Rockets
Charlotte Hornets,Minnesota Timberwolves
Chicago Bulls,New Orleans Pelicans
Atlanta Hawks,Orlando Magic
Oklahoma City Thunder,Dallas Mavericks
Golden State Warriors,Portland Trail Blazers
Los Angeles Lakers,Sacramento Kings
Toronto Raptors,Boston Celtics
Los Angeles Clippers,Washington Wizards
Denver Nuggets,Indiana Pacers
Milwaukee Bucks,Memphis Grizzlies
Miami Heat,New Orleans Pelicans
Oklahoma City Thunder,San Antonio Spurs
Golden State Warriors,Phoenix Suns
Sacramento Kings,Portland Trail Blazers
